图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE02000005,铃铛,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['ling-dang'],{},-1
VE02000005,铃铛,1636T0504VE02000005VE00957,画画的东西,0,1,1,3,0,我画的东西,"['wo', 'hua', 'de', 'dong', 'xi']",['ling-dang'],"{""word"": ""\u6211\u753b\u7684\u4e1c\u897f"", ""pinyin"": ""['wo', 'hua', 'de', 'dong', 'xi']"", ""nearest"": [""de"", ""dong""], ""minDis"": 2.5}",0
VE02000005,铃铛,1645T0504VE02000005VE00957,露珠,0,0,1,5,0,肉粥,"['rou', 'zhou']",['ling-dang'],"{""word"": ""\u8089\u7ca5"", ""pinyin"": ""['rou', 'zhou']"", ""nearest"": [""rou"", ""zhou""], ""minDis"": 4.25}",0
VE02000005,铃铛,1655T0404VE02000005VE00957,梨当,0,0,1,4,1,什么你的,"['shen', 'me', 'ni', 'de']",['ling-dang'],"{""word"": ""\u4ec0\u4e48\u4f60\u7684"", ""pinyin"": ""['shen', 'me', 'ni', 'de']"", ""nearest"": [""ni"", ""de""], ""minDis"": 2.65}",0
VE02000005,铃铛,1697T0504VE02000005VE00957,,,,,,,细节,"['xi', 'jie']",['ling-dang'],"{""word"": ""\u7ec6\u8282"", ""pinyin"": ""['xi', 'jie']"", ""nearest"": [""xi"", ""jie""], ""minDis"": 3.5}",0
VE02000005,铃铛,1619139303876T0404VE02000005VE009571619139697927,铃铛,0,0,1,5,1,领导,"['ling', 'dao']",['ling-dang'],"{""word"": ""\u9886\u5bfc"", ""pinyin"": ""['ling', 'dao']"", ""nearest"": [""ling"", ""dao""], ""minDis"": 1.0}",0
VE02000005,铃铛,1619140450795T0404VE02000005VE009571619140738521,铃铛,0,0,1,4,1,领导,"['ling', 'dao']",['ling-dang'],"{""word"": ""\u9886\u5bfc"", ""pinyin"": ""['ling', 'dao']"", ""nearest"": [""ling"", ""dao""], ""minDis"": 1.0}",0
VE02000005,铃铛,1619141078429T0504VE02000005VE009571619141200882,,,,,,,心脏,"['xin', 'zang']",['ling-dang'],"{""word"": ""\u5fc3\u810f"", ""pinyin"": ""['xin', 'zang']"", ""nearest"": [""xin"", ""zang""], ""minDis"": 1.25}",0
VE02000005,铃铛,1619141639151T0404VE02000005VE009571619141811976,,,,,,,,[''],['ling-dang'],{},-1
VE02000005,铃铛,1619141790389T0304VE02000005VE009571619141938322,这是铃铛,0,0,1,4,1,这是您的,"['zhe', 'shi', 'nin', 'de']",['ling-dang'],"{""word"": ""\u8fd9\u662f\u60a8\u7684"", ""pinyin"": ""['zhe', 'shi', 'nin', 'de']"", ""nearest"": [""nin"", ""de""], ""minDis"": 1.9}",0
VE02000005,铃铛,1619141817365T0304VE02000005VE009571619142023659,,,,,,,嗯嗯嗯,"['en', 'en', 'en']",['ling-dang'],"{""word"": ""\u55ef\u55ef\u55ef"", ""pinyin"": ""['en', 'en', 'en']"", ""nearest"": [""en"", ""en""], ""minDis"": 3.0}",0
VE02000005,铃铛,1619143073964T0504VE02000005VE009571619143306560,,,,,,,平的,"['ping', 'de']",['ling-dang'],"{""word"": ""\u5e73\u7684"", ""pinyin"": ""['ping', 'de']"", ""nearest"": [""ping"", ""de""], ""minDis"": 2.0}",0
VE02000005,铃铛,1619143494553T0404VE02000005VE009571619143688868,铃铛,0,0,1,5,1,那都,"['na', 'du']",['ling-dang'],"{""word"": ""\u90a3\u90fd"", ""pinyin"": ""['na', 'du']"", ""nearest"": [""na"", ""du""], ""minDis"": 3.15}",0
VE02000005,铃铛,1619144024313T0304VE02000005VE009571619144344032,,,,,,,年,['nian'],['ling-dang'],"{""word"": ""\u5e74"", ""pinyin"": ""['nian']""}",-1
VE02000005,铃铛,1619144248468T0404VE02000005VE009571619144435175,,,,,,,啊,['a'],['ling-dang'],"{""word"": ""\u554a"", ""pinyin"": ""['a']""}",-1
VE02000005,铃铛,1619146069733T0504VE02000005VE009571619146216503,,,,,,,,[''],['ling-dang'],{},-1
VE02000005,铃铛,1619146620903T0304VE02000005VE009571619146835428,这是温度计,0,1,1,4,0,那个教师休息了，该怎么还要呢还要继续的，但是温度计,"['na', 'ge', 'jiao', 'shi', 'xiu', 'xi', 'le', 'gai', 'zen', 'me', 'huan', 'yao', 'ni', 'huan', 'yao', 'ji', 'xu', 'de', 'dan', 'shi', 'wen', 'du', 'ji']",['ling-dang'],"{""word"": ""\u90a3\u4e2a\u6559\u5e08\u4f11\u606f\u4e86\uff0c\u8be5\u600e\u4e48\u8fd8\u8981\u5462\u8fd8\u8981\u7ee7\u7eed\u7684\uff0c\u4f46\u662f\u6e29\u5ea6\u8ba1"", ""pinyin"": ""['na', 'ge', 'jiao', 'shi', 'xiu', 'xi', 'le', 'gai', 'zen', 'me', 'huan', 'yao', 'ni', 'huan', 'yao', 'ji', 'xu', 'de', 'dan', 'shi', 'wen', 'du', 'ji']"", ""nearest"": [""de"", ""dan""], ""minDis"": 2.4}",0
VE02000005,铃铛,1619146972584T0404VE02000005VE009571619147143512,铃铛,0,1,1,4,1,谁知,"['shui', 'zhi']",['ling-dang'],"{""word"": ""\u8c01\u77e5"", ""pinyin"": ""['shui', 'zhi']"", ""nearest"": [""shui"", ""zhi""], ""minDis"": 5.0}",0
VE02000005,铃铛,1619151445887T0504VE02000005VE009571619151598412,,,,,,,,[''],['ling-dang'],{},-1
VE02000005,铃铛,1619158576930T0404VE02000005VE009571619158700653,铃铛,0,0,0,4,1,应当,"['ying', 'dang']",['ling-dang'],"{""word"": ""\u5e94\u5f53"", ""pinyin"": ""['ying', 'dang']"", ""nearest"": [""ying"", ""dang""], ""minDis"": 0.5}",0
