图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE05000098,举、运动,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['ju', 'yun-dong']",{},-1
VE05000098,举、运动,1343T0501VE05000098VE01207,运动,,,1,5,1,运动,"['yun', 'dong']","['ju', 'yun-dong']","{""word"": ""\u8fd0\u52a8"", ""pinyin"": ""['yun', 'dong']"", ""nearest"": [""yun"", ""dong""], ""minDis"": 0.0}",1
VE05000098,举、运动,1346T0502VE05000098VE01207,运动,,,,5,1,运动,"['yun', 'dong']","['ju', 'yun-dong']","{""word"": ""\u8fd0\u52a8"", ""pinyin"": ""['yun', 'dong']"", ""nearest"": [""yun"", ""dong""], ""minDis"": 0.0}",1
VE05000098,举、运动,1618277350113T0501VE05000098VE012071618277497434,他在运动,,,,5,1,它在运动,"['ta', 'zai', 'yun', 'dong']","['ju', 'yun-dong']","{""word"": ""\u5b83\u5728\u8fd0\u52a8"", ""pinyin"": ""['ta', 'zai', 'yun', 'dong']"", ""nearest"": [""yun"", ""dong""], ""minDis"": 0.0}",1
VE05000098,举、运动,1618294378869T0502VE05000098VE012071618294592150,他在锻炼,,,,5,1,他在锻炼,"['ta', 'zai', 'duan', 'lian']","['ju', 'yun-dong']","{""word"": ""\u4ed6\u5728\u953b\u70bc"", ""pinyin"": ""['ta', 'zai', 'duan', 'lian']"", ""nearest"": [""ta""], ""minDis"": 2.2}",0
VE05000098,举、运动,1618297471484T0502VE05000098VE012071618297719263,嗯他在运动,,,,5,1,嗯他在运动,"['en', 'ta', 'zai', 'yun', 'dong']","['ju', 'yun-dong']","{""word"": ""\u55ef\u4ed6\u5728\u8fd0\u52a8"", ""pinyin"": ""['en', 'ta', 'zai', 'yun', 'dong']"", ""nearest"": [""yun"", ""dong""], ""minDis"": 0.0}",1
VE05000098,举、运动,1618298013833T0501VE05000098VE012071618298146656,嗯他在做运动,,,1,3,1,嗯还有个,"['en', 'huan', 'you', 'ge']","['ju', 'yun-dong']","{""word"": ""\u55ef\u8fd8\u6709\u4e2a"", ""pinyin"": ""['en', 'huan', 'you', 'ge']"", ""nearest"": [""you""], ""minDis"": 2.0}",0
VE05000098,举、运动,1618450419482T0502VE05000098VE012071618450628952,在做易动,,,,2,1,再做一道,"['zai', 'zuo', 'yi', 'dao']","['ju', 'yun-dong']","{""word"": ""\u518d\u505a\u4e00\u9053"", ""pinyin"": ""['zai', 'zuo', 'yi', 'dao']"", ""nearest"": [""zuo""], ""minDis"": 2.0}",0
VE05000098,举、运动,1618451101330T0501VE05000098VE012071618451220900,训练呀,,,,2,1,训练呀,"['xun', 'lian', 'ya']","['ju', 'yun-dong']","{""word"": ""\u8bad\u7ec3\u5440"", ""pinyin"": ""['xun', 'lian', 'ya']"", ""nearest"": [""xun""], ""minDis"": 1.8}",0
VE05000098,举、运动,1618454475187T0501VE05000098VE012071618454583981,在,,,1,5,1,在,['zai'],"['ju', 'yun-dong']","{""word"": ""\u5728"", ""pinyin"": ""['zai']"", ""nearest"": [""zai""], ""minDis"": 3.0}",0
VE05000099,放大镜,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['fang-da-jing'],{},-1
VE05000099,放大镜,1340T0503VE05000099VE00138,放大镜,,,1,5,1,放大镜,"['fang', 'da', 'jing']",['fang-da-jing'],"{""word"": ""\u653e\u5927\u955c"", ""pinyin"": ""['fang', 'da', 'jing']"", ""nearest"": [""fang"", ""da"", ""jing""], ""minDis"": 0.0}",1
VE05000099,放大镜,1346T0502VE05000099VE00138,放大镜,,,,5,1,放大镜,"['fang', 'da', 'jing']",['fang-da-jing'],"{""word"": ""\u653e\u5927\u955c"", ""pinyin"": ""['fang', 'da', 'jing']"", ""nearest"": [""fang"", ""da"", ""jing""], ""minDis"": 0.0}",1
VE05000099,放大镜,1618283377735T0503VE05000099VE001381618283629731,放大镜,,,,5,1,放大镜,"['fang', 'da', 'jing']",['fang-da-jing'],"{""word"": ""\u653e\u5927\u955c"", ""pinyin"": ""['fang', 'da', 'jing']"", ""nearest"": [""fang"", ""da"", ""jing""], ""minDis"": 0.0}",1
VE05000099,放大镜,1618294378869T0502VE05000099VE001381618294584520,放大镜,,,,5,1,放大镜,"['fang', 'da', 'jing']",['fang-da-jing'],"{""word"": ""\u653e\u5927\u955c"", ""pinyin"": ""['fang', 'da', 'jing']"", ""nearest"": [""fang"", ""da"", ""jing""], ""minDis"": 0.0}",1
VE05000099,放大镜,1618297471484T0502VE05000099VE001381618297708562,/,,,1,0,0,五,['wu'],['fang-da-jing'],"{""word"": ""\u4e94"", ""pinyin"": ""['wu']""}",-1
VE05000099,放大镜,1618298310027T0503VE05000099VE001381618298487445,望远镜,,,1,5,0,望远镜,"['wang', 'yuan', 'jing']",['fang-da-jing'],"{""word"": ""\u671b\u8fdc\u955c"", ""pinyin"": ""['wang', 'yuan', 'jing']"", ""nearest"": [""wang"", ""yuan"", ""jing""], ""minDis"": 1.3333333333333333}",0
VE05000099,放大镜,1618450419482T0502VE05000099VE001381618450619207,这个是画大计,,,,2,1,这个是花大气,"['zhe', 'ge', 'shi', 'hua', 'da', 'qi']",['fang-da-jing'],"{""word"": ""\u8fd9\u4e2a\u662f\u82b1\u5927\u6c14"", ""pinyin"": ""['zhe', 'ge', 'shi', 'hua', 'da', 'qi']"", ""nearest"": [""hua"", ""da"", ""qi""], ""minDis"": 2.3000000000000003}",0
VE05000099,放大镜,1618450727708T0503VE05000099VE001381618450905901,mianmian,1,,,1,0,嗯明白,"['en', 'ming', 'bai']",['fang-da-jing'],"{""word"": ""\u55ef\u660e\u767d"", ""pinyin"": ""['en', 'ming', 'bai']"", ""nearest"": [""en"", ""ming"", ""bai""], ""minDis"": 3.6666666666666665}",0
VE05000099,放大镜,1618454164862T0503VE05000099VE001381618454321317,/,,,1,0,0,,[''],['fang-da-jing'],{},-1
VE05000100,输,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['shu'],{},-1
VE05000100,输,1343T0501VE05000100VE01277,输啦,,,1,5,1,输了,"['shu', 'le']",['shu'],"{""word"": ""\u8f93\u4e86"", ""pinyin"": ""['shu', 'le']"", ""nearest"": [""shu""], ""minDis"": 0.0}",1
VE05000100,输,1346T0502VE05000100VE01277,输啦,,,1,5,1,输了,"['shu', 'le']",['shu'],"{""word"": ""\u8f93\u4e86"", ""pinyin"": ""['shu', 'le']"", ""nearest"": [""shu""], ""minDis"": 0.0}",1
VE05000100,输,1618277350113T0501VE05000100VE012771618277515724,嗯那个输了,,,,5,1,嗯那个输了,"['en', 'na', 'ge', 'shu', 'le']",['shu'],"{""word"": ""\u55ef\u90a3\u4e2a\u8f93\u4e86"", ""pinyin"": ""['en', 'na', 'ge', 'shu', 'le']"", ""nearest"": [""shu""], ""minDis"": 0.0}",1
VE05000100,输,1618294378869T0502VE05000100VE012771618294607937,输了,,,,5,1,输了,"['shu', 'le']",['shu'],"{""word"": ""\u8f93\u4e86"", ""pinyin"": ""['shu', 'le']"", ""nearest"": [""shu""], ""minDis"": 0.0}",1
VE05000100,输,1618297471484T0502VE05000100VE012771618297735483,苏啦,,,1,3,1,输了,"['shu', 'le']",['shu'],"{""word"": ""\u8f93\u4e86"", ""pinyin"": ""['shu', 'le']"", ""nearest"": [""shu""], ""minDis"": 0.0}",1
VE05000100,输,1618298013833T0501VE05000100VE012771618298166048,额是男生,,,1,3,0,是男生,"['shi', 'nan', 'sheng']",['shu'],"{""word"": ""\u662f\u7537\u751f"", ""pinyin"": ""['shi', 'nan', 'sheng']"", ""nearest"": [""shi""], ""minDis"": 1.2}",0
VE05000100,输,1618450419482T0502VE05000100VE012771618450642937,那个小朋友苏哇,,,1,3,1,好的那个，小朋友说啊,"['hao', 'de', 'na', 'ge', 'xiao', 'peng', 'you', 'shuo', 'a']",['shu'],"{""word"": ""\u597d\u7684\u90a3\u4e2a\uff0c\u5c0f\u670b\u53cb\u8bf4\u554a"", ""pinyin"": ""['hao', 'de', 'na', 'ge', 'xiao', 'peng', 'you', 'shuo', 'a']"", ""nearest"": [""shuo""], ""minDis"": 1.0}",0
