图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE05000098,举、运动,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE05000098,举、运动,1343T0501VE05000098VE01207,运动,,,1,5,1,运动,"['yun', 'dong']"
VE05000098,举、运动,1346T0502VE05000098VE01207,运动,,,,5,1,运动,"['yun', 'dong']"
VE05000098,举、运动,1618277350113T0501VE05000098VE012071618277497434,他在运动,,,,5,1,它在运动,"['ta', 'zai', 'yun', 'dong']"
VE05000098,举、运动,1618294378869T0502VE05000098VE012071618294592150,他在锻炼,,,,5,1,他在锻炼,"['ta', 'zai', 'duan', 'lian']"
VE05000098,举、运动,1618297471484T0502VE05000098VE012071618297719263,嗯他在运动,,,,5,1,嗯他在运动,"['en', 'ta', 'zai', 'yun', 'dong']"
VE05000098,举、运动,1618298013833T0501VE05000098VE012071618298146656,嗯他在做运动,,,1,3,1,嗯还有个,"['en', 'huan', 'you', 'ge']"
VE05000098,举、运动,1618450419482T0502VE05000098VE012071618450628952,在做易动,,,,2,1,再做一道,"['zai', 'zuo', 'yi', 'dao']"
VE05000098,举、运动,1618451101330T0501VE05000098VE012071618451220900,训练呀,,,,2,1,训练呀,"['xun', 'lian', 'ya']"
VE05000098,举、运动,1618454475187T0501VE05000098VE012071618454583981,在,,,1,5,1,在,['zai']
VE05000099,放大镜,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE05000099,放大镜,1340T0503VE05000099VE00138,放大镜,,,1,5,1,放大镜,"['fang', 'da', 'jing']"
VE05000099,放大镜,1346T0502VE05000099VE00138,放大镜,,,,5,1,放大镜,"['fang', 'da', 'jing']"
VE05000099,放大镜,1618283377735T0503VE05000099VE001381618283629731,放大镜,,,,5,1,放大镜,"['fang', 'da', 'jing']"
VE05000099,放大镜,1618294378869T0502VE05000099VE001381618294584520,放大镜,,,,5,1,放大镜,"['fang', 'da', 'jing']"
VE05000099,放大镜,1618297471484T0502VE05000099VE001381618297708562,/,,,1,0,0,五,['wu']
VE05000099,放大镜,1618298310027T0503VE05000099VE001381618298487445,望远镜,,,1,5,0,望远镜,"['wang', 'yuan', 'jing']"
VE05000099,放大镜,1618450419482T0502VE05000099VE001381618450619207,这个是画大计,,,,2,1,这个是花大气,"['zhe', 'ge', 'shi', 'hua', 'da', 'qi']"
VE05000099,放大镜,1618450727708T0503VE05000099VE001381618450905901,mianmian,1,,,1,0,嗯明白,"['en', 'ming', 'bai']"
VE05000099,放大镜,1618454164862T0503VE05000099VE001381618454321317,/,,,1,0,0,,['']
VE05000100,输,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE05000100,输,1343T0501VE05000100VE01277,输啦,,,1,5,1,输了,"['shu', 'le']"
VE05000100,输,1346T0502VE05000100VE01277,输啦,,,1,5,1,输了,"['shu', 'le']"
