图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE02000005,铃铛,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000005,铃铛,1636T0504VE02000005VE00957,画画的东西,0,1,1,3,0,我画的东西,"['wo', 'hua', 'de', 'dong', 'xi']"
VE02000005,铃铛,1645T0504VE02000005VE00957,露珠,0,0,1,5,0,肉粥,"['rou', 'zhou']"
VE02000005,铃铛,1655T0404VE02000005VE00957,梨当,0,0,1,4,1,什么你的,"['shen', 'me', 'ni', 'de']"
VE02000005,铃铛,1697T0504VE02000005VE00957,,,,,,,细节,"['xi', 'jie']"
VE02000005,铃铛,1619139303876T0404VE02000005VE009571619139697927,铃铛,0,0,1,5,1,领导,"['ling', 'dao']"
VE02000005,铃铛,1619140450795T0404VE02000005VE009571619140738521,铃铛,0,0,1,4,1,领导,"['ling', 'dao']"
VE02000005,铃铛,1619141078429T0504VE02000005VE009571619141200882,,,,,,,心脏,"['xin', 'zang']"
VE02000005,铃铛,1619141639151T0404VE02000005VE009571619141811976,,,,,,,,['']
VE02000005,铃铛,1619141790389T0304VE02000005VE009571619141938322,这是铃铛,0,0,1,4,1,这是您的,"['zhe', 'shi', 'nin', 'de']"
VE02000005,铃铛,1619141817365T0304VE02000005VE009571619142023659,,,,,,,嗯嗯嗯,"['en', 'en', 'en']"
VE02000005,铃铛,1619143073964T0504VE02000005VE009571619143306560,,,,,,,平的,"['ping', 'de']"
VE02000005,铃铛,1619143494553T0404VE02000005VE009571619143688868,铃铛,0,0,1,5,1,那都,"['na', 'du']"
VE02000005,铃铛,1619144024313T0304VE02000005VE009571619144344032,,,,,,,年,['nian']
VE02000005,铃铛,1619144248468T0404VE02000005VE009571619144435175,,,,,,,啊,['a']
VE02000005,铃铛,1619146069733T0504VE02000005VE009571619146216503,,,,,,,,['']
VE02000005,铃铛,1619146620903T0304VE02000005VE009571619146835428,这是温度计,0,1,1,4,0,那个教师休息了，该怎么还要呢还要继续的，但是温度计,"['na', 'ge', 'jiao', 'shi', 'xiu', 'xi', 'le', 'gai', 'zen', 'me', 'huan', 'yao', 'ni', 'huan', 'yao', 'ji', 'xu', 'de', 'dan', 'shi', 'wen', 'du', 'ji']"
VE02000005,铃铛,1619146972584T0404VE02000005VE009571619147143512,铃铛,0,1,1,4,1,谁知,"['shui', 'zhi']"
VE02000005,铃铛,1619151445887T0504VE02000005VE009571619151598412,,,,,,,,['']
VE02000005,铃铛,1619158576930T0404VE02000005VE009571619158700653,铃铛,0,0,0,4,1,应当,"['ying', 'dang']"
VE02000005,铃铛,1619158627649T0404VE02000005VE009571619158879052,,,,,,,好行,"['hao', 'xing']"
VE02000005,铃铛,1619162009830T0302VE02000005VE009571619162069010,,,,,,,,['']
VE02000011,穿衣服,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000011,穿衣服,1619141790389T0304VE02000011VE002891619141916673,他在穿衣服,0,0,1,4,1,他在穿衣服,"['ta', 'zai', 'chuan', 'yi', 'fu']"
VE02000011,穿衣服,1619141817365T0304VE02000011VE002891619142006511,穿衣服,0,0,1,4,1,穿衣服,"['chuan', 'yi', 'fu']"
VE02000011,穿衣服,1619144024313T0304VE02000011VE002891619144313403,他在穿衣服,0,1,1,3,1,他在刷新衣服,"['ta', 'zai', 'shua', 'xin', 'yi', 'fu']"
VE02000011,穿衣服,1619146620903T0304VE02000011VE002891619146804638,穿衣服,0,1,1,3,1,,['']
VE02000012,撕,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000012,撕,1607T0603VE02000012VE00891,,,,,,,嗯,['en']
VE02000012,撕,1608T0503VE02000012VE00891,撕东西,0,0,1,4,1,吃东西,"['chi', 'dong', 'xi']"
VE02000012,撕,1635T0503VE02000012VE00891,师紫,0,0,1,2,1,狮子,"['shi', 'zi']"
VE02000012,撕,1637T0503VE02000012VE00891,,,,,,,嗯,['en']
VE02000012,撕,1648T0603VE02000012VE00891,,,,,,,嗯嗯嗯,"['en', 'en', 'en']"
VE02000012,撕,1656T0403VE02000012VE00891,,,,,,,,['']
VE02000012,撕,1690T0603VE02000012VE00891,师纸,0,0,1,2,1,湿纸,"['shi', 'zhi']"
VE02000012,撕,1703T0503VE02000012VE00891,嗯写作业他在写作业吧,0,1,1,4,0,嗯写作业他在写作业吧,"['en', 'xie', 'zuo', 'ye', 'ta', 'zai', 'xie', 'zuo', 'ye', 'ba']"
VE02000012,撕,1619139604818T0403VE02000012VE008911619139812819,在撕紫,0,0,1,2,1,那狮子,"['na', 'shi', 'zi']"
