图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE06000140,邮递员、送信,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000140,邮递员、送信,1341T0602VE06000140VE00850,/,否,否,否,0,否,好了那下面没了，但是,"['hao', 'le', 'na', 'xia', 'mian', 'mei', 'le', 'dan', 'shi']"
VE06000140,邮递员、送信,1342T0601VE06000140VE00850,/,luo4xin1dou3,否,否,1,否,用心的,"['yong', 'xin', 'de']"
VE06000140,邮递员、送信,1348T0601VE06000140VE00850,他是邮递员,否,否,否,3,是,它是由地缘,"['ta', 'shi', 'you', 'di', 'yuan']"
VE06000140,邮递员、送信,1618189717760T0602VE06000140VE008501618189929028,送信的,否,否,否,4,是,,['']
VE06000140,邮递员、送信,1618190311406T0601VE06000140VE008501618190574991,邮寄员,否,否,否,3,是,结缘,"['jie', 'yuan']"
VE06000140,邮递员、送信,1618193735771T0602VE06000140VE008501618193920875,emm送信封的叔叔,否,否,否,5,是,嗯送信封的叔叔,"['en', 'song', 'xin', 'feng', 'de', 'shu', 'shu']"
VE06000140,邮递员、送信,1618194328063T0601VE06000140VE008501618194472488,寄信的,否,否,否,3,是,嗯记性的,"['en', 'ji', 'xing', 'de']"
VE06000140,邮递员、送信,1618196018573T0602VE06000140VE008501618196247788,/,否,否,否,0,否,,['']
VE06000140,邮递员、送信,1618276501878T0601VE06000140VE008501618276701853,员叔叔,否,否,否,2,否,别人叔叔,"['bie', 'ren', 'shu', 'shu']"
VE06000140,邮递员、送信,1618279332680T0601VE06000140VE008501618279509470,他是送信的,否,否,否,3,是,他是送进的,"['ta', 'shi', 'song', 'jin', 'de']"
VE06000140,邮递员、送信,1618279667480T0602VE06000140VE008501618279891502,/,否,否,否,0,否,对吧？,"['dui', 'ba']"
VE06000140,邮递员、送信,1618282675120T0602VE06000140VE008501618282860360,他是邮递员,否,否,否,4,是,它是由地缘,"['ta', 'shi', 'you', 'di', 'yuan']"
VE06000140,邮递员、送信,1618449720214T0601VE06000140VE008501618449882549,他是送信的人,否,否,否,2,是,他是送信的人,"['ta', 'shi', 'song', 'xin', 'de', 'ren']"
VE06000140,邮递员、送信,1618451426336T0602VE06000140VE008501618451611680,/,否,否,否,0,否,有一个我们观察的非常的准确，非常好,"['you', 'yi', 'ge', 'wo', 'men', 'guan', 'cha', 'de', 'fei', 'chang', 'de', 'zhun', 'que', 'fei', 'chang', 'hao']"
VE06000140,邮递员、送信,1618452037246T0601VE06000140VE008501618452161389,他是送信的人,否,否,否,3,是,他是送信的人,"['ta', 'shi', 'song', 'xin', 'de', 'ren']"
VE06000140,邮递员、送信,1618453029145T0602VE06000140VE008501618453215243,他是,否,否,否,3,否,好谢谢,"['hao', 'xie', 'xie']"
VE06000140,邮递员、送信,1618453584002T0602VE06000140VE008501618453803904,他是送信的,否,否,否,3,是,他是授信的,"['ta', 'shi', 'shou', 'xin', 'de']"
VE06000140,邮递员、送信,1618455059969T0601VE06000140VE008501618455204943,/,否,否,否,0,否,啊你说你的意思,"['a', 'ni', 'shuo', 'ni', 'de', 'yi', 'si']"
VE06000141,聊天、谈话、讲话、说话,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000141,聊天、谈话、讲话、说话,1344T0604VE06000141VE00705,聊天,否,否,否,4,是,聊天,"['liao', 'tian']"
VE06000141,聊天、谈话、讲话、说话,1347T0605VE06000141VE00705,他们在一起的讲话,否,否,否,5,是,他们在一起的讲话,"['ta', 'men', 'zai', 'yi', 'qi', 'de', 'jiang', 'hua']"
VE06000141,聊天、谈话、讲话、说话,1618191717238T0604VE06000141VE007051618191975462,他们在讲话,否,否,否,4,是,他们在讲话,"['ta', 'men', 'zai', 'jiang', 'hua']"
VE06000141,聊天、谈话、讲话、说话,1618192048330T0605VE06000141VE007051618192244557,/,否,否,否,0,否,知道,"['zhi', 'dao']"
VE06000141,聊天、谈话、讲话、说话,1618192544946T0605VE06000141VE007051618192717164,/,否,否,否,0,否,嗯,['en']
VE06000141,聊天、谈话、讲话、说话,1618193100995T0604VE06000141VE007051618193366700,/,否,否,否,0,否,,['']
VE06000141,聊天、谈话、讲话、说话,1618275960253T0604VE06000141VE007051618276224254,好像是石头剪刀布吧,否,否,否,2,否,还是喜洲嘴的布包,"['huan', 'shi', 'xi', 'zhou', 'zui', 'de', 'bu', 'bao']"
VE06000141,聊天、谈话、讲话、说话,1618278205081T0605VE06000141VE007051618278384163,他们俩在讲话,否,否,否,4,是,他们俩在讲话,"['ta', 'men', 'lia', 'zai', 'jiang', 'hua']"
VE06000141,聊天、谈话、讲话、说话,1618278587855T0605VE06000141VE007051618278907199,他们在玩石头剪刀布,否,否,否,5,否,他们在玩石头剪刀布,"['ta', 'men', 'zai', 'wan', 'shi', 'tou', 'jian', 'dao', 'bu']"
VE06000141,聊天、谈话、讲话、说话,1618280905927T0604VE06000141VE007051618281157886,他们在说话吗,否,否,否,3,是,他们的说话吗？,"['ta', 'men', 'de', 'shuo', 'hua', 'ma']"
VE06000141,聊天、谈话、讲话、说话,1618282136024T0604VE06000141VE007051618282388393,聊天,否,否,否,4,是,聊天,"['liao', 'tian']"
VE06000141,聊天、谈话、讲话、说话,1618295228848T0605VE06000141VE007051618295497581,他们在讲话,否,否,否,4,是,他们在讲话,"['ta', 'men', 'zai', 'jiang', 'hua']"
VE06000141,聊天、谈话、讲话、说话,1618295615703T0604VE06000141VE007051618295909930,在玩游戏,否,否,否,5,否,在玩游戏,"['zai', 'wan', 'you', 'xi']"
VE06000141,聊天、谈话、讲话、说话,1618447854715T0605VE06000141VE007051618448022131,天,否,否,否,3,否,天,['tian']
VE06000141,聊天、谈话、讲话、说话,1618448900511T0604VE06000141VE007051618449140236,在聊天,否,否,否,3,是,在聊天,"['zai', 'liao', 'tian']"
VE06000141,聊天、谈话、讲话、说话,1618451774229T0605VE06000141VE007051618451933181,在讲话,否,否,否,3,是,在讲话,"['zai', 'jiang', 'hua']"
VE06000141,聊天、谈话、讲话、说话,1618452740249T0604VE06000141VE007051618452966294,说话,否,否,否,3,是,说话,"['shuo', 'hua']"
VE06000141,聊天、谈话、讲话、说话,1618453308633T0605VE06000141VE007051618453446258,他们在玩儿,否,否,否,3,否,他们在玩,"['ta', 'men', 'zai', 'wan']"
VE06000141,聊天、谈话、讲话、说话,1618455677099T0604VE06000141VE007051618455885694,聊天,否,否,否,2,是,聊天,"['liao', 'tian']"
VE06000142,复杂、难、不简单,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000142,复杂、难、不简单,1340T0503VE06000142VE00756,很难,否,否,否,3,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1345T0603VE06000142VE00756,/,否,否,否,0,否,嗯,['en']
VE06000142,复杂、难、不简单,1346T0502VE06000142VE00756,很难,否,否,否,5,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1347T0605VE06000142VE00756,这个图案很难,否,否,否,4,是,这个图啊很难,"['zhe', 'ge', 'tu', 'a', 'hen', 'nan']"
VE06000142,复杂、难、不简单,1349T0603VE06000142VE00756,不简单,否,否,否,4,是,不简单,"['bu', 'jian', 'dan']"
VE06000142,复杂、难、不简单,1618188869654T0603VE06000142VE007561618189061128,很难呀,否,否,是,4,是,很难呀,"['hen', 'nan', 'ya']"
VE06000142,复杂、难、不简单,1618192048330T0605VE06000142VE007561618192297782,很难,否,否,否,3,是,什么,"['shen', 'me']"
VE06000142,复杂、难、不简单,1618192544946T0605VE06000142VE007561618192769556,/,否,否,否,0,否,,['']
VE06000142,复杂、难、不简单,1618194888019T0603VE06000142VE007561618195046838,啊,否,否,否,1,否,,['']
VE06000142,复杂、难、不简单,1618195512593T0603VE06000142VE007561618195637100,难,否,否,否,3,是,,['']
