图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE05000121,座,------------------------------------------------,--------------------,------------,--------------,------------,--------,----------,---------------------,,['zuo'],{},-1
VE05000121,座,1636T0504VE05000121VE00681,0,,,,,0,三三十分好的,"['san', 'san', 'shi', 'fen', 'hao', 'de']",['zuo'],"{""word"": ""\u4e09\u4e09\u5341\u5206\u597d\u7684"", ""pinyin"": ""['san', 'san', 'shi', 'fen', 'hao', 'de']"", ""nearest"": [""hao""], ""minDis"": 2.0}",0
VE05000121,座,1645T0504VE05000121VE00681,0,,,,,0,嗯对呀,"['en', 'dui', 'ya']",['zuo'],"{""word"": ""\u55ef\u5bf9\u5440"", ""pinyin"": ""['en', 'dui', 'ya']"", ""nearest"": [""dui""], ""minDis"": 2.0}",0
VE05000121,座,1697T0504VE05000121VE00681,0,,,,,0,是的形的，三角形的,"['shi', 'de', 'xing', 'de', 'san', 'jiao', 'xing', 'de']",['zuo'],"{""word"": ""\u662f\u7684\u5f62\u7684\uff0c\u4e09\u89d2\u5f62\u7684"", ""pinyin"": ""['shi', 'de', 'xing', 'de', 'san', 'jiao', 'xing', 'de']"", ""nearest"": [""san""], ""minDis"": 2.8}",0
VE05000121,座,1619084459872T0505VE05000121VE006811619084828308,0,,,,,0,,[''],['zuo'],{},-1
VE05000121,座,1619141078429T0504VE05000121VE006811619141267186,一座一座的,,,,4,1,一一座一座的,"['yi', 'yi', 'zuo', 'yi', 'zuo', 'de']",['zuo'],"{""word"": ""\u4e00\u4e00\u5ea7\u4e00\u5ea7\u7684"", ""pinyin"": ""['yi', 'yi', 'zuo', 'yi', 'zuo', 'de']"", ""nearest"": [""zuo""], ""minDis"": 0.0}",1
VE05000121,座,1619143073964T0504VE05000121VE006811619143377278,0,,,,,0,这个呢,"['zhe', 'ge', 'ni']",['zuo'],"{""word"": ""\u8fd9\u4e2a\u5462"", ""pinyin"": ""['zhe', 'ge', 'ni']"", ""nearest"": [""zhe""], ""minDis"": 2.8}",0
VE05000121,座,1619146069733T0504VE05000121VE006811619146289803,很高,,,,4,0,很高,"['hen', 'gao']",['zuo'],"{""word"": ""\u5f88\u9ad8"", ""pinyin"": ""['hen', 'gao']"", ""nearest"": [""gao""], ""minDis"": 2.0}",0
VE05000121,座,1619151445887T0504VE05000121VE006811619151679617,只有一棵而且有点大,,,,5,0,嗯只有一颗，而且有点大,"['en', 'zhi', 'you', 'yi', 'ke', 'er', 'qie', 'you', 'dian', 'da']",['zuo'],"{""word"": ""\u55ef\u53ea\u6709\u4e00\u9897\uff0c\u800c\u4e14\u6709\u70b9\u5927"", ""pinyin"": ""['en', 'zhi', 'you', 'yi', 'ke', 'er', 'qie', 'you', 'dian', 'da']"", ""nearest"": [""you""], ""minDis"": 2.6}",0
VE05000122,叼、骨头,------------------------------------------------,--------------------,------------,--------------,------------,--------,----------,---------------------,,"['diao', 'gu-tou']",{},-1
VE05000122,叼、骨头,1605T0502VE05000122VE00479,他在吃骨头,,,,5,1,它在吃骨头,"['ta', 'zai', 'chi', 'gu', 'tou']","['diao', 'gu-tou']","{""word"": ""\u5b83\u5728\u5403\u9aa8\u5934"", ""pinyin"": ""['ta', 'zai', 'chi', 'gu', 'tou']"", ""nearest"": [""gu"", ""tou""], ""minDis"": 0.0}",1
VE05000122,叼、骨头,1606T0602VE05000122VE00479,他在吃东西,,,,5,0,还带吃东西,"['huan', 'dai', 'chi', 'dong', 'xi']","['diao', 'gu-tou']","{""word"": ""\u8fd8\u5e26\u5403\u4e1c\u897f"", ""pinyin"": ""['huan', 'dai', 'chi', 'dong', 'xi']"", ""nearest"": [""dai""], ""minDis"": 2.0}",0
VE05000122,叼、骨头,1629T0502VE05000122VE00479,骨头,,,,2,1,土豆,"['tu', 'dou']","['diao', 'gu-tou']","{""word"": ""\u571f\u8c46"", ""pinyin"": ""['tu', 'dou']"", ""nearest"": [""tu"", ""dou""], ""minDis"": 0.95}",0
VE05000122,叼、骨头,1632T0402VE05000122VE00479,吃骨头,,,,3,1,吃骨头,"['chi', 'gu', 'tou']","['diao', 'gu-tou']","{""word"": ""\u5403\u9aa8\u5934"", ""pinyin"": ""['chi', 'gu', 'tou']"", ""nearest"": [""gu"", ""tou""], ""minDis"": 0.0}",1
VE05000122,叼、骨头,1643T0502VE05000122VE00479,他在咬骨头,,,,4,0,还在摇骨，骨头,"['huan', 'zai', 'yao', 'gu', 'gu', 'tou']","['diao', 'gu-tou']","{""word"": ""\u8fd8\u5728\u6447\u9aa8\uff0c\u9aa8\u5934"", ""pinyin"": ""['huan', 'zai', 'yao', 'gu', 'gu', 'tou']"", ""nearest"": [""gu"", ""tou""], ""minDis"": 0.0}",1
VE05000122,叼、骨头,1646T0602VE05000122VE00479,吃东西,,,,5,0,吃东西,"['chi', 'dong', 'xi']","['diao', 'gu-tou']","{""word"": ""\u5403\u4e1c\u897f"", ""pinyin"": ""['chi', 'dong', 'xi']"", ""nearest"": [""dong""], ""minDis"": 3.0}",0
VE05000122,叼、骨头,1659T0302VE05000122VE00479,吃骨头,,,,3,1,先补一下嗯,"['xian', 'bu', 'yi', 'xia', 'en']","['diao', 'gu-tou']","{""word"": ""\u5148\u8865\u4e00\u4e0b\u55ef"", ""pinyin"": ""['xian', 'bu', 'yi', 'xia', 'en']"", ""nearest"": [""xian""], ""minDis"": 2.0}",0
VE05000122,叼、骨头,1691T0602VE05000122VE00479,吃东西,,,,5,0,吃东西,"['chi', 'dong', 'xi']","['diao', 'gu-tou']","{""word"": ""\u5403\u4e1c\u897f"", ""pinyin"": ""['chi', 'dong', 'xi']"", ""nearest"": [""dong""], ""minDis"": 3.0}",0
VE05000122,叼、骨头,1701T0402VE05000122VE00479,0,,,,,0,他就变成嗯给他他他是什么团队,"['ta', 'jiu', 'bian', 'cheng', 'en', 'gei', 'ta', 'ta', 'ta', 'shi', 'shen', 'me', 'tuan', 'dui']","['diao', 'gu-tou']","{""word"": ""\u4ed6\u5c31\u53d8\u6210\u55ef\u7ed9\u4ed6\u4ed6\u4ed6\u662f\u4ec0\u4e48\u56e2\u961f"", ""pinyin"": ""['ta', 'jiu', 'bian', 'cheng', 'en', 'gei', 'ta', 'ta', 'ta', 'shi', 'shen', 'me', 'tuan', 'dui']"", ""nearest"": [""bian""], ""minDis"": 2.0}",0
VE05000122,叼、骨头,1702T0502VE05000122VE00479,0,,,,,0,就是因为小狗,"['jiu', 'shi', 'yin', 'wei', 'xiao', 'gou']","['diao', 'gu-tou']","{""word"": ""\u5c31\u662f\u56e0\u4e3a\u5c0f\u72d7"", ""pinyin"": ""['jiu', 'shi', 'yin', 'wei', 'xiao', 'gou']"", ""nearest"": [""xiao""], ""minDis"": 1.0}",0
VE05000122,叼、骨头,1727T0302VE05000122VE00479,0,,,,,0,,[''],"['diao', 'gu-tou']",{},-1
VE05000122,叼、骨头,1619084459872T0505VE05000122VE004791619084678635,0,,1,,,0,我本来不想靠来复制过来的,"['wo', 'ben', 'lai', 'bu', 'xiang', 'kao', 'lai', 'fu', 'zhi', 'guo', 'lai', 'de']","['diao', 'gu-tou']","{""word"": ""\u6211\u672c\u6765\u4e0d\u60f3\u9760\u6765\u590d\u5236\u8fc7\u6765\u7684"", ""pinyin"": ""['wo', 'ben', 'lai', 'bu', 'xiang', 'kao', 'lai', 'fu', 'zhi', 'guo', 'lai', 'de']"", ""nearest"": [""kao""], ""minDis"": 2.0}",0
