图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE02000005,铃铛,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['ling-dang'],{},-1
VE02000005,铃铛,1618296589699T0302VE02000005VE009571618296760177,这是铃铛,0,0,0,2,1,这是你的,"['zhe', 'shi', 'ni', 'de']",['ling-dang'],"{""word"": ""\u8fd9\u662f\u4f60\u7684"", ""pinyin"": ""['zhe', 'shi', 'ni', 'de']"", ""nearest"": [""ni"", ""de""], ""minDis"": 2.65}",0
VE02000005,铃铛,1618297232021T0304VE02000005VE009571618297414718,耳机,0,0,1,2,0,我知道,"['wo', 'zhi', 'dao']",['ling-dang'],"{""word"": ""\u6211\u77e5\u9053"", ""pinyin"": ""['wo', 'zhi', 'dao']"", ""nearest"": [""zhi"", ""dao""], ""minDis"": 3.0}",0
VE02000005,铃铛,1618299576070T0302VE02000005VE009571618299724933,/,0,0,1,0,0,,[''],['ling-dang'],{},-1
VE02000005,铃铛,1618458459974T0302VE02000005VE009571618458727570,/,0,0,0,0,0,,[''],['ling-dang'],{},-1
VE02000005,铃铛,1618468091613T0304VE02000005VE009571618468254676,/,0,0,0,0,0,,[''],['ling-dang'],{},-1
VE02000006,伞、雨伞,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['san', 'yu-san']",{},-1
VE02000006,伞、雨伞,1618296589699T0302VE02000006VE004931618296764572,啊,0,0,0,4,0,嗯,['en'],"['san', 'yu-san']","{""word"": ""\u55ef"", ""pinyin"": ""['en']"", ""nearest"": [""en""], ""minDis"": 2.0}",0
VE02000006,伞、雨伞,1618297232021T0304VE02000006VE004931618297419760,雨伞,0,0,1,5,1,,[''],"['san', 'yu-san']",{},-1
VE02000006,伞、雨伞,1618299576070T0302VE02000006VE004931618299732441,雨伞,0,0,1,5,1,你想,"['ni', 'xiang']","['san', 'yu-san']","{""word"": ""\u4f60\u60f3"", ""pinyin"": ""['ni', 'xiang']"", ""nearest"": [""ni"", ""xiang""], ""minDis"": 2.6}",0
VE02000006,伞、雨伞,1618458459974T0302VE02000006VE004931618458740871,/,0,0,0,0,0,,[''],"['san', 'yu-san']",{},-1
VE02000006,伞、雨伞,1618468091613T0304VE02000006VE004931618468258749,/,0,0,0,0,0,,[''],"['san', 'yu-san']",{},-1
VE02000007,冰淇淋,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['bing-qi-lin'],{},-1
VE02000007,冰淇淋,1618296589699T0302VE02000007VE003581618296768115,ei,1,0,0,1,0,你,['ni'],['bing-qi-lin'],"{""word"": ""\u4f60"", ""pinyin"": ""['ni']""}",-1
VE02000007,冰淇淋,1618297232021T0304VE02000007VE003581618297424080,冰淇淋,0,0,0,5,1,谢谢你,"['xie', 'xie', 'ni']",['bing-qi-lin'],"{""word"": ""\u8c22\u8c22\u4f60"", ""pinyin"": ""['xie', 'xie', 'ni']"", ""nearest"": [""xie"", ""xie"", ""ni""], ""minDis"": 2.033333333333333}",0
VE02000007,冰淇淋,1618299576070T0302VE02000007VE003581618299736783,冰淇淋,0,0,0,4,1,谢谢你,"['xie', 'xie', 'ni']",['bing-qi-lin'],"{""word"": ""\u8c22\u8c22\u4f60"", ""pinyin"": ""['xie', 'xie', 'ni']"", ""nearest"": [""xie"", ""xie"", ""ni""], ""minDis"": 2.033333333333333}",0
VE02000007,冰淇淋,1618458459974T0302VE02000007VE003581618458746833,/,0,0,0,0,0,,[''],['bing-qi-lin'],{},-1
VE02000007,冰淇淋,1618468091613T0304VE02000007VE003581618468262560,/,0,0,0,0,0,,[''],['bing-qi-lin'],{},-1
VE02000008,圆形、圆,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['yuan-xing', 'yuan']",{},-1
VE02000008,圆形、圆,1618296589699T0302VE02000008VE000041618296771339,圆形,0,0,1,4,1,也许,"['ye', 'xu']","['yuan-xing', 'yuan']","{""word"": ""\u4e5f\u8bb8"", ""pinyin"": ""['ye', 'xu']"", ""nearest"": [""ye"", ""xu""], ""minDis"": 3.0}",0
VE02000008,圆形、圆,1618297232021T0304VE02000008VE000041618297427858,碗,0,0,1,5,0,不玩了,"['bu', 'wan', 'le']","['yuan-xing', 'yuan']","{""word"": ""\u4e0d\u73a9\u4e86"", ""pinyin"": ""['bu', 'wan', 'le']"", ""nearest"": [""wan""], ""minDis"": 1.8}",0
VE02000008,圆形、圆,1618299576070T0302VE02000008VE000041618299740733,圆,0,0,0,3,1,盐,['yan'],"['yuan-xing', 'yuan']","{""word"": ""\u76d0"", ""pinyin"": ""['yan']""}",-1
VE02000008,圆形、圆,1618458459974T0302VE02000008VE000041618458750367,/,0,0,0,0,0,,[''],"['yuan-xing', 'yuan']",{},-1
VE02000008,圆形、圆,1618468091613T0304VE02000008VE000041618468266791,/,0,0,0,0,0,,[''],"['yuan-xing', 'yuan']",{},-1
VE02000009,桌子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['zhuo-zi'],{},-1
VE02000009,桌子,1618278457024T0305VE02000009VE001781618278668959,桌子,0,0,0,5,1,我举,"['wo', 'ju']",['zhuo-zi'],"{""word"": ""\u6211\u4e3e"", ""pinyin"": ""['wo', 'ju']"", ""nearest"": [""wo"", ""ju""], ""minDis"": 2.55}",0
VE02000009,桌子,1618296589699T0302VE02000009VE001781618296775541,yidouzhi,1,0,0,1,0,,[''],['zhuo-zi'],{},-1
VE02000009,桌子,1618299576070T0302VE02000009VE001781618299745242,桌子,0,0,1,5,1,桌子,"['zhuo', 'zi']",['zhuo-zi'],"{""word"": ""\u684c\u5b50"", ""pinyin"": ""['zhuo', 'zi']"", ""nearest"": [""zhuo"", ""zi""], ""minDis"": 0.0}",1
VE02000009,桌子,1618458459974T0302VE02000009VE001781618458754196,/,0,0,0,0,0,,[''],['zhuo-zi'],{},-1
VE02000010,三、气球,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['san', 'qi-qiu']",{},-1
VE02000010,三、气球,1618278457024T0305VE02000010VE005421618278673643,一二三三个气球,0,0,0,4,1,三个,"['san', 'ge']","['san', 'qi-qiu']","{""word"": ""\u4e09\u4e2a"", ""pinyin"": ""['san', 'ge']"", ""nearest"": [""san""], ""minDis"": 0.0}",1
