图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定(单threshold),讯飞判定(threshold区间),是否需要人工判断
VE02000005,铃铛,1618296589699T0302VE02000005VE009571618296760177,这是铃铛,0,0,0,2,1,这是你的,"['zhe', 'shi', 'ni', 'de']",['ling-dang'],"{'word': '这是你的', 'pinyin': ""['zhe', 'shi', 'ni', 'de']"", 'nearest': ['ni', 'de'], 'minDis': 2.65}",0,0,0
VE02000006,伞、雨伞,1618299576070T0302VE02000006VE004931618299732441,雨伞,0,0,1,5,1,你想,"['ni', 'xiang']","['san', 'yu-san']","{'word': '你想', 'pinyin': ""['ni', 'xiang']"", 'nearest': ['ni', 'xiang'], 'minDis': 2.6}",0,0,0
VE02000008,圆形、圆,1618296589699T0302VE02000008VE000041618296771339,圆形,0,0,1,4,1,也许,"['ye', 'xu']","['yuan-xing', 'yuan']","{'word': '也许', 'pinyin': ""['ye', 'xu']"", 'nearest': ['ye', 'xu'], 'minDis': 3.0}",0,0,0
VE02000009,桌子,1618278457024T0305VE02000009VE001781618278668959,桌子,0,0,0,5,1,我举,"['wo', 'ju']",['zhuo-zi'],"{'word': '我举', 'pinyin': ""['wo', 'ju']"", 'nearest': ['wo', 'ju'], 'minDis': 2.55}",0,0,0
VE03000013,嘴巴、牙齿,1618298551354T0301VE03000013VE012011618298759812,yazihaiyoukuohu,1,0,1,1,0,你要是还要困惑,"['ni', 'yao', 'shi', 'huan', 'yao', 'kun', 'huo']","['zui-ba', 'ya-chi']","{'word': '你要是还要困惑', 'pinyin': ""['ni', 'yao', 'shi', 'huan', 'yao', 'kun', 'huo']"", 'nearest': ['yao', 'shi'], 'minDis': 0.9}",0,1,0
VE03000022,窗户、窗子,1618276120033T0402VE03000022VE000121618276385624,窗户,0,0,1,5,1,超过,"['chao', 'guo']","['chuang-hu', 'chuang-zi']","{'word': '超过', 'pinyin': ""['chao', 'guo']"", 'nearest': ['chao', 'guo'], 'minDis': 2.5}",0,0,0
VE03000022,窗户、窗子,1618276804004T0404VE03000022VE000121618276993680,窗户,0,0,1,5,1,然后,"['ran', 'hou']","['chuang-hu', 'chuang-zi']","{'word': '然后', 'pinyin': ""['ran', 'hou']"", 'nearest': ['ran', 'hou'], 'minDis': 2.5}",0,0,0
VE03000022,窗户、窗子,1618295835309T0404VE03000022VE000121618295989965,窗户,0,0,1,4,1,好好,"['hao', 'hao']","['chuang-hu', 'chuang-zi']","{'word': '好好', 'pinyin': ""['hao', 'hao']"", 'nearest': ['hao', 'hao'], 'minDis': 3.0}",0,0,0
VE03000022,窗户、窗子,1618297906963T0402VE03000022VE000121618298123103,嗯窗户,0,0,1,4,1,嗯他和,"['en', 'ta', 'he']","['chuang-hu', 'chuang-zi']","{'word': '嗯他和', 'pinyin': ""['en', 'ta', 'he']"", 'nearest': ['ta', 'he'], 'minDis': 3.1}",0,0,0
VE03000022,窗户、窗子,1618298551354T0301VE03000022VE000121618298749188,窗户,0,0,1,5,1,老虎,"['lao', 'hu']","['chuang-hu', 'chuang-zi']","{'word': '老虎', 'pinyin': ""['lao', 'hu']"", 'nearest': ['lao', 'hu'], 'minDis': 2.5}",0,0,0
VE03000022,窗户、窗子,1618299730739T0402VE03000022VE000121618299983252,窗户,0,0,1,5,1,挑拨我,"['tiao', 'bo', 'wo']","['chuang-hu', 'chuang-zi']","{'word': '挑拨我', 'pinyin': ""['tiao', 'bo', 'wo']"", 'nearest': ['tiao', 'bo'], 'minDis': 3.6}",0,0,0
VE03000022,窗户、窗子,1618468822007T0402VE03000022VE000121618468954624,窗户,0,0,1,5,1,有多少好火,"['you', 'duo', 'shao', 'hao', 'huo']","['chuang-hu', 'chuang-zi']","{'word': '有多少好火', 'pinyin': ""['you', 'duo', 'shao', 'hao', 'huo']"", 'nearest': ['hao', 'huo'], 'minDis': 2.5}",0,0,0
VE03000022,窗户、窗子,1618471019753T0402VE03000022VE000121618471212153,窗户,0,0,1,5,1,啥苦？,"['sha', 'ku']","['chuang-hu', 'chuang-zi']","{'word': '啥苦？', 'pinyin': ""['sha', 'ku']"", 'nearest': ['sha', 'ku'], 'minDis': 2.4}",0,0,0
VE03000033,下雪、雪,1618298551354T0301VE03000033VE009011618298740303,雪,0,0,1,5,1,是啊,"['shi', 'a']","['xia-xue', 'xue']","{'word': '是啊', 'pinyin': ""['shi', 'a']"", 'nearest': ['shi', 'a'], 'minDis': 3.0}",0,0,0
VE03000037,摘、采摘,1618298551354T0301VE03000037VE007641618298713051,他在拿苹果的,0,0,1,4,0,但是他他对他再拿苹果的还,"['dan', 'shi', 'ta', 'ta', 'dui', 'ta', 'zai', 'na', 'ping', 'guo', 'de', 'huan']","['zhai', 'cai-zhai']","{'word': '但是他他对他再拿苹果的还', 'pinyin': ""['dan', 'shi', 'ta', 'ta', 'dui', 'ta', 'zai', 'na', 'ping', 'guo', 'de', 'huan']"", 'nearest': ['zai'], 'minDis': 0.5}",0,1,0
