图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE05000121,座,------------------------------------------------,--------------------,------------,--------------,------------,--------,----------,---------------------,
VE05000121,座,1636T0504VE05000121VE00681,0,,,,,0,三三十分好的,"['san', 'san', 'shi', 'fen', 'hao', 'de']"
VE05000121,座,1645T0504VE05000121VE00681,0,,,,,0,嗯对呀,"['en', 'dui', 'ya']"
VE05000121,座,1697T0504VE05000121VE00681,0,,,,,0,是的形的，三角形的,"['shi', 'de', 'xing', 'de', 'san', 'jiao', 'xing', 'de']"
VE05000121,座,1619084459872T0505VE05000121VE006811619084828308,0,,,,,0,,['']
VE05000121,座,1619141078429T0504VE05000121VE006811619141267186,一座一座的,,,,4,1,一一座一座的,"['yi', 'yi', 'zuo', 'yi', 'zuo', 'de']"
VE05000121,座,1619143073964T0504VE05000121VE006811619143377278,0,,,,,0,这个呢,"['zhe', 'ge', 'ni']"
VE05000121,座,1619146069733T0504VE05000121VE006811619146289803,很高,,,,4,0,很高,"['hen', 'gao']"
VE05000121,座,1619151445887T0504VE05000121VE006811619151679617,只有一棵而且有点大,,,,5,0,嗯只有一颗，而且有点大,"['en', 'zhi', 'you', 'yi', 'ke', 'er', 'qie', 'you', 'dian', 'da']"
VE05000122,叼、骨头,------------------------------------------------,--------------------,------------,--------------,------------,--------,----------,---------------------,
VE05000122,叼、骨头,1605T0502VE05000122VE00479,他在吃骨头,,,,5,1,它在吃骨头,"['ta', 'zai', 'chi', 'gu', 'tou']"
VE05000122,叼、骨头,1606T0602VE05000122VE00479,他在吃东西,,,,5,0,还带吃东西,"['huan', 'dai', 'chi', 'dong', 'xi']"
VE05000122,叼、骨头,1629T0502VE05000122VE00479,骨头,,,,2,1,土豆,"['tu', 'dou']"
VE05000122,叼、骨头,1632T0402VE05000122VE00479,吃骨头,,,,3,1,吃骨头,"['chi', 'gu', 'tou']"
VE05000122,叼、骨头,1643T0502VE05000122VE00479,他在咬骨头,,,,4,0,还在摇骨，骨头,"['huan', 'zai', 'yao', 'gu', 'gu', 'tou']"
VE05000122,叼、骨头,1646T0602VE05000122VE00479,吃东西,,,,5,0,吃东西,"['chi', 'dong', 'xi']"
VE05000122,叼、骨头,1659T0302VE05000122VE00479,吃骨头,,,,3,1,先补一下嗯,"['xian', 'bu', 'yi', 'xia', 'en']"
VE05000122,叼、骨头,1691T0602VE05000122VE00479,吃东西,,,,5,0,吃东西,"['chi', 'dong', 'xi']"
VE05000122,叼、骨头,1701T0402VE05000122VE00479,0,,,,,0,他就变成嗯给他他他是什么团队,"['ta', 'jiu', 'bian', 'cheng', 'en', 'gei', 'ta', 'ta', 'ta', 'shi', 'shen', 'me', 'tuan', 'dui']"
VE05000122,叼、骨头,1702T0502VE05000122VE00479,0,,,,,0,就是因为小狗,"['jiu', 'shi', 'yin', 'wei', 'xiao', 'gou']"
VE05000122,叼、骨头,1727T0302VE05000122VE00479,0,,,,,0,,['']
VE05000122,叼、骨头,1619084459872T0505VE05000122VE004791619084678635,0,,1,,,0,我本来不想靠来复制过来的,"['wo', 'ben', 'lai', 'bu', 'xiang', 'kao', 'lai', 'fu', 'zhi', 'guo', 'lai', 'de']"
VE05000122,叼、骨头,1619140034682T0502VE05000122VE004791619140224012,骨头一直到,,,,3,1,我早已知道,"['wo', 'zao', 'yi', 'zhi', 'dao']"
VE05000122,叼、骨头,1619140502232T0502VE05000122VE004791619140693557,骨头,,,,2,1,骨头,"['gu', 'tou']"
VE05000122,叼、骨头,1619140594192T0402VE05000122VE004791619140780996,啃鸡腿,,,,3,0,啃鸡腿,"['ken', 'ji', 'tui']"
VE05000122,叼、骨头,1619141185300T0402VE05000122VE004791619141512143,骨头,,,,3,1,骨头,"['gu', 'tou']"
VE05000122,叼、骨头,1619142213345T0602VE05000122VE004791619142466340,0,,1,,,0,吃东西，嘴巴里在干嘛嗯在干嘛？你看他嘴巴里是个什么？呀是不是跟骨头？呀,"['chi', 'dong', 'xi', 'zui', 'ba', 'li', 'zai', 'gan', 'ma', 'en', 'zai', 'gan', 'ma', 'ni', 'kan', 'ta', 'zui', 'ba', 'li', 'shi', 'ge', 'shen', 'me', 'ya', 'shi', 'bu', 'shi', 'gen', 'gu', 'tou', 'ya']"
VE05000122,叼、骨头,1619142625407T0402VE05000122VE004791619142840861,蝴蝶,,,,2,0,青春年,"['qing', 'chun', 'nian']"
VE05000122,叼、骨头,1619142717660T0402VE05000122VE004791619142899040,他在咬骨头,,,,4,1,他在摇骨头,"['ta', 'zai', 'yao', 'gu', 'tou']"
VE05000122,叼、骨头,1619142817322T0302VE05000122VE004791619143102869,他,,,,2,0,好,['hao']
VE05000122,叼、骨头,1619144112081T0302VE05000122VE004791619144454091,吃骨头,,,,3,1,监管的,"['jian', 'guan', 'de']"
VE05000122,叼、骨头,1619144882766T0302VE05000122VE004791619145165017,他在咬骨头,,,,4,1,他的腰骨头,"['ta', 'de', 'yao', 'gu', 'tou']"
VE05000122,叼、骨头,1619145056250T0302VE05000122VE004791619145324588,0,,,,,0,那个房间的一个他家去那个顾客,"['na', 'ge', 'fang', 'jian', 'de', 'yi', 'ge', 'ta', 'jia', 'qu', 'na', 'ge', 'gu', 'ke']"
VE05000122,叼、骨头,1619145771806T0502VE05000122VE004791619145932055,要骨头,,,,3,1,羊骨头,"['yang', 'gu', 'tou']"
VE05000122,叼、骨头,1619145921706T0402VE05000122VE004791619146113920,骨头,,,,5,1,骨头,"['gu', 'tou']"
