图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE06000140,邮递员、送信,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['you-di-yuan', 'song-xin']",{},-1
VE06000140,邮递员、送信,1341T0602VE06000140VE00850,/,0,0,0,0,0,好了那下面没了，但是,"['hao', 'le', 'na', 'xia', 'mian', 'mei', 'le', 'dan', 'shi']","['you-di-yuan', 'song-xin']","{""word"": ""\u597d\u4e86\u90a3\u4e0b\u9762\u6ca1\u4e86\uff0c\u4f46\u662f"", ""pinyin"": ""['hao', 'le', 'na', 'xia', 'mian', 'mei', 'le', 'dan', 'shi']"", ""nearest"": [""na"", ""xia"", ""mian""], ""minDis"": 2.3333333333333335}",0
VE06000140,邮递员、送信,1342T0601VE06000140VE00850,/,luo4xin1dou3,0,0,1,0,用心的,"['yong', 'xin', 'de']","['you-di-yuan', 'song-xin']","{""word"": ""\u7528\u5fc3\u7684"", ""pinyin"": ""['yong', 'xin', 'de']"", ""nearest"": [""yong"", ""xin""], ""minDis"": 0.5}",0
VE06000140,邮递员、送信,1348T0601VE06000140VE00850,他是邮递员,0,0,0,3,1,它是由地缘,"['ta', 'shi', 'you', 'di', 'yuan']","['you-di-yuan', 'song-xin']","{""word"": ""\u5b83\u662f\u7531\u5730\u7f18"", ""pinyin"": ""['ta', 'shi', 'you', 'di', 'yuan']"", ""nearest"": [""you"", ""di"", ""yuan""], ""minDis"": 0.0}",1
VE06000140,邮递员、送信,1618189717760T0602VE06000140VE008501618189929028,送信的,0,0,0,4,1,,[''],"['you-di-yuan', 'song-xin']",{},-1
VE06000140,邮递员、送信,1618190311406T0601VE06000140VE008501618190574991,邮寄员,0,0,0,3,1,结缘,"['jie', 'yuan']","['you-di-yuan', 'song-xin']","{""word"": ""\u7ed3\u7f18"", ""pinyin"": ""['jie', 'yuan']""}",-1
VE06000140,邮递员、送信,1618193735771T0602VE06000140VE008501618193920875,emm送信封的叔叔,0,0,0,5,1,嗯送信封的叔叔,"['en', 'song', 'xin', 'feng', 'de', 'shu', 'shu']","['you-di-yuan', 'song-xin']","{""word"": ""\u55ef\u9001\u4fe1\u5c01\u7684\u53d4\u53d4"", ""pinyin"": ""['en', 'song', 'xin', 'feng', 'de', 'shu', 'shu']"", ""nearest"": [""song"", ""xin""], ""minDis"": 0.0}",1
VE06000140,邮递员、送信,1618194328063T0601VE06000140VE008501618194472488,寄信的,0,0,0,3,1,嗯记性的,"['en', 'ji', 'xing', 'de']","['you-di-yuan', 'song-xin']","{""word"": ""\u55ef\u8bb0\u6027\u7684"", ""pinyin"": ""['en', 'ji', 'xing', 'de']"", ""nearest"": [""ji"", ""xing""], ""minDis"": 2.25}",0
VE06000140,邮递员、送信,1618196018573T0602VE06000140VE008501618196247788,/,0,0,0,0,0,,[''],"['you-di-yuan', 'song-xin']",{},-1
VE06000140,邮递员、送信,1618276501878T0601VE06000140VE008501618276701853,员叔叔,0,0,0,2,0,别人叔叔,"['bie', 'ren', 'shu', 'shu']","['you-di-yuan', 'song-xin']","{""word"": ""\u522b\u4eba\u53d4\u53d4"", ""pinyin"": ""['bie', 'ren', 'shu', 'shu']"", ""nearest"": [""bie"", ""ren""], ""minDis"": 3.0}",0
VE06000140,邮递员、送信,1618279332680T0601VE06000140VE008501618279509470,他是送信的,0,0,0,3,1,他是送进的,"['ta', 'shi', 'song', 'jin', 'de']","['you-di-yuan', 'song-xin']","{""word"": ""\u4ed6\u662f\u9001\u8fdb\u7684"", ""pinyin"": ""['ta', 'shi', 'song', 'jin', 'de']"", ""nearest"": [""song"", ""jin""], ""minDis"": 0.4}",0
VE06000140,邮递员、送信,1618279667480T0602VE06000140VE008501618279891502,/,0,0,0,0,0,对吧？,"['dui', 'ba']","['you-di-yuan', 'song-xin']","{""word"": ""\u5bf9\u5427\uff1f"", ""pinyin"": ""['dui', 'ba']""}",-1
VE06000140,邮递员、送信,1618282675120T0602VE06000140VE008501618282860360,他是邮递员,0,0,0,4,1,它是由地缘,"['ta', 'shi', 'you', 'di', 'yuan']","['you-di-yuan', 'song-xin']","{""word"": ""\u5b83\u662f\u7531\u5730\u7f18"", ""pinyin"": ""['ta', 'shi', 'you', 'di', 'yuan']"", ""nearest"": [""you"", ""di"", ""yuan""], ""minDis"": 0.0}",1
VE06000140,邮递员、送信,1618449720214T0601VE06000140VE008501618449882549,他是送信的人,0,0,0,2,1,他是送信的人,"['ta', 'shi', 'song', 'xin', 'de', 'ren']","['you-di-yuan', 'song-xin']","{""word"": ""\u4ed6\u662f\u9001\u4fe1\u7684\u4eba"", ""pinyin"": ""['ta', 'shi', 'song', 'xin', 'de', 'ren']"", ""nearest"": [""song"", ""xin""], ""minDis"": 0.0}",1
