图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE02000005,铃铛,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000005,铃铛,1618296589699T0302VE02000005VE009571618296760177,这是铃铛,否,否,否,2,是,这是你的,"['zhe', 'shi', 'ni', 'de']"
VE02000005,铃铛,1618297232021T0304VE02000005VE009571618297414718,耳机,否,否,是,2,否,我知道,"['wo', 'zhi', 'dao']"
VE02000005,铃铛,1618299576070T0302VE02000005VE009571618299724933,/,否,否,是,0,否,,['']
VE02000005,铃铛,1618458459974T0302VE02000005VE009571618458727570,/,否,否,否,0,否,,['']
VE02000005,铃铛,1618468091613T0304VE02000005VE009571618468254676,/,否,否,否,0,否,,['']
VE02000006,伞、雨伞,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000006,伞、雨伞,1618296589699T0302VE02000006VE004931618296764572,啊,否,否,否,4,否,嗯,['en']
VE02000006,伞、雨伞,1618297232021T0304VE02000006VE004931618297419760,雨伞,否,否,是,5,是,,['']
VE02000006,伞、雨伞,1618299576070T0302VE02000006VE004931618299732441,雨伞,否,否,是,5,是,你想,"['ni', 'xiang']"
VE02000006,伞、雨伞,1618458459974T0302VE02000006VE004931618458740871,/,否,否,否,0,否,,['']
VE02000006,伞、雨伞,1618468091613T0304VE02000006VE004931618468258749,/,否,否,否,0,否,,['']
VE02000007,冰淇淋,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000007,冰淇淋,1618296589699T0302VE02000007VE003581618296768115,ei,是,否,否,1,否,你,['ni']
VE02000007,冰淇淋,1618297232021T0304VE02000007VE003581618297424080,冰淇淋,否,否,否,5,是,谢谢你,"['xie', 'xie', 'ni']"
VE02000007,冰淇淋,1618299576070T0302VE02000007VE003581618299736783,冰淇淋,否,否,否,4,是,谢谢你,"['xie', 'xie', 'ni']"
VE02000007,冰淇淋,1618458459974T0302VE02000007VE003581618458746833,/,否,否,否,0,否,,['']
VE02000007,冰淇淋,1618468091613T0304VE02000007VE003581618468262560,/,否,否,否,0,否,,['']
VE02000008,圆形、圆,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000008,圆形、圆,1618296589699T0302VE02000008VE000041618296771339,圆形,否,否,是,4,是,也许,"['ye', 'xu']"
VE02000008,圆形、圆,1618297232021T0304VE02000008VE000041618297427858,碗,否,否,是,5,否,不玩了,"['bu', 'wan', 'le']"
VE02000008,圆形、圆,1618299576070T0302VE02000008VE000041618299740733,圆,否,否,否,3,是,盐,['yan']
VE02000008,圆形、圆,1618458459974T0302VE02000008VE000041618458750367,/,否,否,否,0,否,,['']
VE02000008,圆形、圆,1618468091613T0304VE02000008VE000041618468266791,/,否,否,否,0,否,,['']
VE02000009,桌子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000009,桌子,1618278457024T0305VE02000009VE001781618278668959,桌子,否,否,否,5,是,我举,"['wo', 'ju']"
VE02000009,桌子,1618296589699T0302VE02000009VE001781618296775541,yidouzhi,是,否,否,1,否,,['']
VE02000009,桌子,1618299576070T0302VE02000009VE001781618299745242,桌子,否,否,是,5,是,桌子,"['zhuo', 'zi']"
VE02000009,桌子,1618458459974T0302VE02000009VE001781618458754196,/,否,否,否,0,否,,['']
VE02000010,三、气球,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000010,三、气球,1618278457024T0305VE02000010VE005421618278673643,一二三三个气球,否,否,否,4,是,三个,"['san', 'ge']"
VE02000010,三、气球,1618296589699T0302VE02000010VE005421618296779473,akeqixiu,是,否,否,2,是,他可清醒,"['ta', 'ke', 'qing', 'xing']"
VE02000010,三、气球,1618299576070T0302VE02000010VE005421618299749829,sanji,是,否,是,1,否,,['']
VE02000010,三、气球,1618458459974T0302VE02000010VE005421618458757780,/,否,否,否,0,否,,['']
VE02000011,穿衣服,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000011,穿衣服,1618278457024T0305VE02000011VE002891618278682717,/,否,否,是,0,否,,['']
VE02000011,穿衣服,1618296589699T0302VE02000011VE002891618296784255,haodedaonenxiexi,是,否,否,1,否,好的，大家学习,"['hao', 'de', 'da', 'jia', 'xue', 'xi']"
VE02000011,穿衣服,1618299576070T0302VE02000011VE002891618299755103,/,否,否,是,0,否,,['']
VE02000011,穿衣服,1618458459974T0302VE02000011VE002891618458767747,/,否,否,否,0,否,,['']
VE02000012,撕,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE02000012,撕,1618278457024T0305VE02000012VE008911618278690502,/,否,否,是,0,否,,['']
VE02000012,撕,1618296589699T0302VE02000012VE008911618296789157,huiyihuo,是,否,否,1,否,嗯好衣服,"['en', 'hao', 'yi', 'fu']"
VE02000012,撕,1618299576070T0302VE02000012VE008911618299760827,/,否,否,是,0,否,嗯,['en']
VE02000012,撕,1618458459974T0302VE02000012VE008911618458774562,/,否,否,否,0,否,,['']
VE03000013,嘴巴、牙齿,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000013,嘴巴、牙齿,1618198908833T0405VE03000013VE012011618199037805,duwa,是,否,否,1,否,死了,"['si', 'le']"
VE03000013,嘴巴、牙齿,1618274322938T0405VE03000013VE012011618274658597,这是牙齿,否,否,是,5,是,这是牙齿,"['zhe', 'shi', 'ya', 'chi']"
VE03000013,嘴巴、牙齿,1618280457904T0405VE03000013VE012011618280661538,牙齿,否,否,否,5,是,牙齿,"['ya', 'chi']"
VE03000013,嘴巴、牙齿,1618294413048T0405VE03000013VE012011618294634723,拔,否,否,否,3,否,啊,['a']
VE03000013,嘴巴、牙齿,1618297906963T0402VE03000013VE012011618298133898,/,否,否,否,0,否,嗯,['en']
VE03000013,嘴巴、牙齿,1618298551354T0301VE03000013VE012011618298759812,yazihaiyoukuohu,是,否,是,1,否,你要是还要困惑,"['ni', 'yao', 'shi', 'huan', 'yao', 'kun', 'huo']"
VE03000013,嘴巴、牙齿,1618299730739T0402VE03000013VE012011618299994778,/,否,否,否,0,否,,['']
VE03000013,嘴巴、牙齿,1618447804255T0405VE03000013VE012011618448009807,/,否,否,否,0,否,,['']
VE03000013,嘴巴、牙齿,1618448339008T0301VE03000013VE012011618448792096,/,否,否,否,0,否,,['']
VE03000013,嘴巴、牙齿,1618450690039T0402VE03000013VE012011618450835511,/,否,否,否,0,否,,['']
VE03000013,嘴巴、牙齿,1618452868800T0405VE03000013VE012011618453038129,/,否,否,否,0,否,,['']
VE03000013,嘴巴、牙齿,1618468822007T0402VE03000013VE012011618468966887,嘴巴牙齿,否,否,是,5,是,嘴巴、牙齿,"['zui', 'ba', 'ya', 'chi']"
VE03000013,嘴巴、牙齿,1618470554451T0402VE03000013VE012011618470701535,巴,否,否,是,3,否,八,['ba']
VE03000013,嘴巴、牙齿,1618471231080T0405VE03000013VE012011618471328161,牙齿,否,否,是,4,是,,['']
VE03000014,叶子、树叶,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000014,叶子、树叶,1618296589699T0302VE03000014VE001131618296823006,/,否,否,否,0,否,,['']
